import time: self [us] | cumulative | imported package
import time:       633 |        633 |                           _sysconfigdata__linux_x86_64-linux-gnu
import time:       623 |       1809 |                         zoneinfo._tzpath
import time:       205 |        205 |                         zoneinfo._common
import time:        73 |         73 |                         _zoneinfo
import time:       210 |       2295 |                       zoneinfo
import time:       134 |        134 |                       pydantic._internal._import_utils
import time:       434 |       4499 |                     pydantic._internal._validators
import time:       344 |        344 |                           pydantic._internal._core_utils
import time:       618 |        618 |                           pydantic._internal._forward_ref
import time:      1140 |       1140 |                           pydantic._internal._utils
import time:       511 |       2611 |                         pydantic._internal._generics
import time:       109 |        109 |                             pydantic._internal._internal_dataclass
import time:      1161 |       1269 |                           pydantic.aliases
import time:      1054 |       1054 |                           pydantic.config
import time:       339 |       2661 |                         pydantic._internal._config
import time:       310 |        310 |                         pydantic._internal._docs_extraction
import time:       665 |       6246 |                       pydantic._internal._fields
import time:       175 |        175 |                       pydantic.annotated_handlers
import time:       323 |        323 |                         pydantic._internal._core_metadata
import time:      4321 |       4321 |                         pydantic._internal._decorators
import time:       672 |        672 |                             pydantic.plugin
import time:       309 |        980 |                           pydantic.plugin._schema_validator
import time:       368 |       1348 |                         pydantic._internal._mock_val_ser
import time:       194 |        194 |                         pydantic._internal._schema_generation_shared
import time:      2174 |       8357 |                       pydantic.json_schema
import time:      8536 |      23312 |                     pydantic.types
import time:      2208 |      39387 |                   pydantic.fields
import time:      5092 |       5092 |                         pydantic.functional_validators
import time:       305 |        305 |                         pydantic._internal._discriminated_union
import time:       319 |        319 |                         pydantic._internal._known_annotated_metadata
import time:       679 |        679 |                         pydantic._internal._schema_gather
import time:      1640 |       8033 |                       pydantic._internal._generate_schema
import time:       204 |        204 |                       pydantic._internal._signature
import time:       618 |       8854 |                     pydantic._internal._model_construction
import time:      2575 |      11428 |                   openai._types
import time:       148 |        148 |                           sniffio._version
import time:       163 |        163 |                           sniffio._impl
import time:       204 |        514 |                         sniffio
import time:       615 |        615 |                                     pydantic.v1.typing
import time:      2019 |       2633 |                                   pydantic.v1.errors
import time:        87 |         87 |                                       cython
import time:       221 |        308 |                                     pydantic.v1.version
import time:      1634 |       1942 |                                   pydantic.v1.utils
import time:       852 |       5426 |                                 pydantic.v1.class_validators
import time:      1217 |       1217 |                                 pydantic.v1.config
import time:       180 |        180 |                                       colorsys
import time:       750 |        929 |                                     pydantic.v1.color
import time:      1551 |       1551 |                                         pydantic.v1.datetime_parse
import time:       643 |       2194 |                                       pydantic.v1.validators
import time:      1135 |       3328 |                                     pydantic.v1.networks
import time:      3215 |       3215 |                                     pydantic.v1.types
import time:       519 |       7990 |                                   pydantic.v1.json
import time:       612 |       8601 |                                 pydantic.v1.error_wrappers
import time:      1182 |       1182 |                                 pydantic.v1.fields
import time:       481 |        481 |                                   pydantic.v1.parse
import time:      2030 |       2030 |                                   pydantic.v1.schema
import time:      2306 |       4816 |                                 pydantic.v1.main
import time:       590 |      21830 |                               pydantic.v1.dataclasses
import time:       222 |        222 |                               pydantic.v1.annotated_types
import time:       324 |        324 |                               pydantic.v1.decorator
import time:      1027 |       1027 |                               pydantic.v1.env_settings
import time:       289 |        289 |                               pydantic.v1.tools
import time:       415 |      24105 |                             pydantic.v1
import time:        16 |      24121 |                           pydantic.v1.typing
import time:        66 |         66 |                                 _csv
import time:       527 |        593 |                               csv
import time:       315 |        315 |                                   importlib._abc
import time:       143 |        457 |                                 importlib.util
import time:      1090 |       1546 |                               zipfile
import time:       131 |        131 |                                   importlib.metadata._functools
import time:       304 |        435 |                                 importlib.metadata._text
import time:       285 |        719 |                               importlib.metadata._adapters
import time:       568 |        568 |                               importlib.metadata._meta
import time:       290 |        290 |                               importlib.metadata._collections
import time:       124 |        124 |                               importlib.metadata._itertools
import time:       429 |        429 |                                       importlib.resources.abc
import time:       330 |        330 |                                       importlib.resources._adapters
import time:       269 |       1027 |                                     importlib.resources._common
import time:       214 |        214 |                                     importlib.resources._legacy
import time:       261 |       1500 |                                   importlib.resources
import time:        15 |       1515 |                                 importlib.resources.abc
import time:       417 |       1931 |                               importlib.abc
import time:      1545 |       7312 |                             importlib.metadata
import time:       164 |       7476 |                           pydantic.plugin._loader
import time:      2999 |      34595 |                         openai._compat
import time:       371 |      35478 |                       openai._utils._utils
import time:       218 |      35695 |                     openai._utils._logs
import time:       158 |        158 |                           anyio._core
import time:       259 |        416 |                         anyio._core._eventloop
import time:       269 |        269 |                         anyio._core._exceptions
import time:       463 |        463 |                               anyio.abc._eventloop
